playlist_core_id,playlist_name,lastModifiedDate,count
0,Hozier’s Lullaby ,2023-02-23,10
1,Mile High View,2023-02-03,13
2,Recent Favorites,2022-12-11,51
3,Cyberpunk,2022-07-06,7
4,Workout Mix,2022-04-25,31
5,Austin Playlist,2022-02-11,153
6,Past vs Present,2022-07-16,58
7,Tranquility ,2022-03-26,33
8,Tone down the vibe ,2022-08-12,81
9,اردو کے ہیرے,2020-10-24,53
10,Rain and Pine,2021-11-28,34
11,Sleep,2023-02-22,52
12,Drive,2022-04-14,416
13,Sexy time,2021-07-16,11
14,My Heartbreak,2022-02-14,12
15,Rapertoire,2022-01-26,79
16,پورانی یادں,2022-06-29,44
17,Run,2022-12-31,39
18,کوالی,2021-08-08,33
19,Raufs Jazz Favorites,2021-04-26,17
